subregion_original,subregion,hemisphere,region
right aorg anterior orbital gyrus,orbitofrontal cortex,R,PFC
right basal forebrain,basal forebrain,R,Subcortical
right ca1,hippocampus,R,MTL
right ca2,hippocampus,R,MTL
right ca3,hippocampus,R,MTL
right calc calcarine cortex,calcarine cortex,R,Occipital
right caudal middle frontal cortex,middle frontal gyrus,R,PFC
right caudate,caudate nucleus,R,Subcortical
right cerebellum exterior,cerebellum,R,Other
right cerebral white matter,,R,
right co central operculum,central operculum,R,Other Cortex
right cun cuneus,cuneus,R,Occipital
right dg,hippocampus,R,MTL
right dlpfc,middle frontal gyrus,R,PFC
right ec,entorhinal cortex,R,MTL
right ent entorhinal area,entorhinal cortex,R,MTL
right fo frontal operculum,frontal operculum,R,Other Cortex
right frp frontal pole,frontal pole,R,PFC
right fug fusiform gyrus,fusiform gyrus,R,Other Temporal
right gre gyrus rectus,rectal gyrus,R,PFC
right hippocampus,hippocampus,R,MTL
right inf lat vent,,R,
right insula,insula,R,Other Cortex
right iog inferior occipital gyrus,inferior occipital gyrus,R,Occipital
right itg inferior temporal gyrus,inferior temporal gyrus,R,LTC
right lateral ventricle,,R,
right lig lingual gyrus,lingual gyrus,R,Occipital
right lorg lateral orbital gyrus,orbitofrontal cortex,R,PFC
right mcg,middle cingulate gyrus,R,Cingulate
right mcgg middle cingulate gyrus,middle cingulate gyrus,R,Cingulate
right mfc medial frontal cortex,medial frontal cortex,R,PFC
right mfg middle frontal gyrus,middle frontal gyrus,R,PFC
right middle temporal gyrus,middle temporal gyrus,R,LTC
right mog middle occipital gyrus,middle occipital gyrus,R,Occipital
right morg medial orbital gyrus,orbitofrontal cortex,R,PFC
right mpog postcentral gyrus medial segment,postcentral gyrus,R,Parietal
right mprg precentral gyrus medial segment,precentral gyrus,R,PFC
right msfg superior frontal gyrus medial segment,superior frontal gyrus,R,PFC
right mtg,middle temporal gyrus,R,LTC
right mtg middle temporal gyrus,middle temporal gyrus,R,LTC
right mtl wm,mtl wm,R,MTL
right ofug occipital fusiform gyrus,fusiform gyrus,R,Other Temporal
right opifg opercular part of the inferior frontal gyrus,inferior frontal gyrus,R,PFC
right orifg orbital part of the inferior frontal gyrus,inferior frontal gyrus,R,PFC
right pallidum,pallidum,R,Subcortical
right pcg,posterior cingulate gyrus,R,Cingulate
right pcgg posterior cingulate gyrus,posterior cingulate gyrus,R,Cingulate
right pcu precuneus,precuneus,R,Parietal
right phc,parahippocampal gyrus,R,MTL
right phg parahippocampal gyrus,parahippocampal gyrus,R,MTL
right pins posterior insula,insula,R,Other Cortex
right po parietal operculum,parietal operculum,R,Parietal
right pog postcentral gyrus,postcentral gyrus,R,Parietal
right porg posterior orbital gyrus,orbitofrontal cortex,R,PFC
right pp planum polare,planum polare,R,Other Temporal
right prc,perirhinal cortex,R,MTL
right precentral gyrus,precentral gyrus,R,PFC
right prg precentral gyrus,precentral gyrus,R,PFC
right pt planum temporale,planum temporale,R,Other Temporal
right putamen,lentiform nucleus,R,Subcortical
right sca subcallosal area,subcallosal area,R,PFC
right sfg superior frontal gyrus,superior frontal gyrus,R,PFC
right smc supplementary motor cortex,supplementary motor cortex,R,Other Cortex
right smg supramarginal gyrus,supramarginal gyrus,R,Parietal
right sog superior occipital gyrus,superior occipital gyrus,R,Occipital
right spl superior parietal lobule,superior parietal gyrus,R,Parietal
right stg,superior temporal gyrus,R,LTC
right stg superior temporal gyrus,superior temporal gyrus,R,LTC
right sub,hippocampus,R,MTL
right superior frontal gyrus,superior frontal gyrus,R,PFC
right supramarginal gyrus,supramarginal gyrus,R,Parietal
right thalamus proper,thalamus,R,Other
right tmp temporal pole,temporal pole,R,MTL
right trifg triangular part of the inferior frontal gyrus,inferior frontal gyrus,R,PFC
right ttg transverse temporal gyrus,transverse temporal gyrus,R,Other Temporal
rostralanteriorcingulate,anterior cingulate gyrus,,Cingulate
rostralmiddlefrontal,middle frontal gyrus,,PFC
superiorfrontal,superior frontal gyrus,,PFC
superiorparietal,superior parietal gyrus,,Parietal
superiortemporal,superior temporal gyrus,,LTC
supramarginal,supramarginal gyrus,,Parietal
temporalpole,temporal pole,,MTL
transversetemporal,transverse temporal gyrus,,Other Temporal
unknown,,,
angular gyrus,angular gyrus,,Parietal
anterior cingulate,anterior cingulate gyrus,,Cingulate
caudate,caudate nucleus,,Subcortical
cingulate gyrus,middle cingulate gyrus,,Cingulate
extra-nuclear,,,
fusiform gyrus,fusiform gyrus,,Other Temporal
inferior frontal gyrus,inferior frontal gyrus,,PFC
inferior occipital gyrus,inferior occipital gyrus,,Occipital
inferior parietal lobule,inferior parietal gyrus,,Parietal
inferior temporal gyrus,inferior temporal gyrus,,LTC
lentiform nucleus,lentiform nucleus,,Subcortical
lingual gyrus,lingual gyrus,,Occipital
medial frontal gyrus,medial frontal cortex,,PFC
middle frontal gyrus,middle frontal gyrus,,PFC
middle occipital gyrus,middle occipital gyrus,,Occipital
middle temporal gyrus,middle temporal gyrus,,LTC
orbital gyrus,orbitofrontal cortex,,PFC
paracentral lobule,paracentral gyrus,,Other Cortex
parahippocampal gyrus,parahippocampal gyrus,,MTL
postcentral gyrus,postcentral gyrus,,Parietal
posterior cingulate,posterior cingulate gyrus,,Cingulate
precentral gyrus,precentral gyrus,,PFC
rectal gyrus,rectal gyrus,,PFC
sub-gyral,,,
subcallosal gyrus,subcallosal area,,PFC
superior frontal gyrus,superior frontal gyrus,,PFC
superior occipital gyrus,superior occipital gyrus,,Occipital
superior parietal lobule,superior parietal gyrus,,Parietal
superior temporal gyrus,superior temporal gyrus,,LTC
supramarginal gyrus,supramarginal gyrus,,Parietal
thalamus,thalamus,,Other
transverse temporal gyrus,transverse temporal gyrus,,Other Temporal
uncus,uncus,,Subcortical
right ocp occipital pole,occipital pole,R,Occipital
corpuscallosum,corpus callosum,,
